iter	Passed	Remaining
398	36818	147735
399	36918	147673
400	37032	147668
401	37137	147625
402	37237	147565
403	37320	147436
404	37414	147347
405	37507	147258
406	37608	147198
407	37721	147188
408	37825	147140
409	37917	147045
410	38011	146960
411	38112	146898
412	38221	146870
413	38313	146777
414	38407	146690
415	38503	146611
416	38597	146520
417	38694	146446
418	38785	146348
419	38874	146240
420	38977	146187
421	39073	146110
422	39162	146002
423	39254	145907
424	39340	145791
425	39430	145690
426	39526	145607
427	39622	145529
428	39714	145433
429	39805	145336
430	39903	145264
431	40002	145193
432	40094	145100
433	40182	144991
434	40264	144857
435	40351	144748
436	40441	144644
437	40529	144535
438	40615	144421
439	40693	144276
440	40779	144162
441	40863	144040
442	40953	143937
443	41034	143807
444	41117	143680
445	41210	143588
446	41297	143477
447	41393	143397
448	41484	143301
449	41571	143191
450	41660	143087
451	41749	142981
452	41831	142854
453	41917	142740
454	42009	142646
455	42094	142531
456	42180	142418
457	42261	142286
458	42340	142148
459	42427	142038
460	42508	141909
461	42599	141814
462	42686	141705
463	42769	141580
464	42852	141459
465	42941	141357
466	43024	141234
467	43110	141121
468	43197	141014
469	43286	140911
470	43370	140792
471	43458	140687
472	43543	140574
473	43631	140468
474	43717	140356
475	43800	140234
476	43887	140127
477	43980	140038
478	44066	139926
479	44150	139810
480	44240	139710
481	44325	139596
482	44415	139499
483	44511	139419
484	44595	139303
485	44681	139193
486	44772	139098
487	44850	138962
488	44935	138850
489	45025	138750
490	45110	138639
491	45192	138516
492	45285	138429
493	45382	138351
494	45470	138250
495	45561	138155
496	45653	138063
497	45734	137938
498	45823	137838
499	45908	137724
500	45991	137606
501	46076	137494
502	46165	137395
503	46243	137262
504	46332	137162
505	46428	137082
506	46513	136971
507	46596	136854
508	46678	136735
509	46764	136624
510	46849	136514
511	46934	136402
512	47025	136310
513	47119	136224
514	47205	136117
515	47290	136005
516	47386	135925
517	47469	135811
518	47552	135694
519	47642	135598
520	47725	135482
521	47808	135365
522	47900	135274
523	47984	135162
524	48067	135045
525	48159	134957
526	48249	134859
527	48331	134743
528	48424	134654
529	48509	134546
530	48599	134448
531	48689	134353
532	48777	134253
533	48864	134147
534	48949	134040
535	49029	133915
536	49116	133812
537	49209	133726
538	49296	133622
539	49386	133526
540	49480	133441
541	49568	133342
542	49651	133226
543	49738	133123
544	49830	133033
545	49911	132913
546	49997	132807
547	50081	132698
548	50170	132598
549	50254	132488
550	50342	132388
551	50423	132269
552	50511	132170
553	50598	132067
554	50680	131952
555	50771	131859
556	50859	131760
557	50939	131639
558	51027	131540
559	51119	131450
560	51199	131330
561	51292	131241
562	51384	131154
563	51471	131051
564	51559	130950
565	51639	130832
566	51725	130728
567	51812	130624
568	51905	130538
569	51990	130432
570	52086	130353
571	52172	130248
572	52258	130143
573	52348	130049
574	52442	129965
575	52521	129844
576	52609	129744
577	52699	129652
578	52786	129550
579	52872	129447
580	52967	129364
581	53051	129255
582	53136	129150
583	53218	129035
584	53293	128906
585	53389	128827
586	53478	128732
587	53570	128642
588	53661	128551
589	53745	128442
590	53830	128336
591	53919	128240
592	54005	128136
593	54090	128032
594	54176	127928
595	54270	127844
596	54357	127743
597	54442	127639
598	54527	127534
599	54611	127426
600	54699	127329
601	54779	127212
602	54866	127112
603	54951	127007
604	55037	126903
605	55126	126809
606	55208	126698
607	55291	126588
608	55384	126502
609	55468	126395
610	55557	126299
611	55642	126196
612	55725	126086
613	55809	125980
614	55895	125878
615	55990	125797
616	56074	125689
617	56159	125586
618	56246	125488
619	56326	125371
620	56420	125287
621	56507	125188
622	56593	125086
623	56682	124992
624	56765	124883
625	56851	124782
626	56933	124673
627	57019	124572
628	57101	124461
629	57196	124379
630	57283	124280
631	57376	124195
632	57459	124086
633	57547	123989
634	57633	123889
635	57719	123787
636	57799	123674
637	57878	123559
638	57972	123476
639	58067	123392
640	58154	123295
641	58241	123196
642	58331	123103
643	58419	123007
644	58505	122906
645	58593	122809
646	58668	122686
647	58757	122592
648	58842	122491
649	58926	122385
650	59007	122275
651	59093	122175
652	59176	122069
653	59268	121979
654	59359	121891
655	59447	121793
656	59539	121707
657	59620	121596
658	59709	121502
659	59798	121409
660	59883	121306
661	59965	121199
662	60054	121105
663	60142	121009
664	60236	120926
665	60336	120854
666	60444	120798
667	60529	120696
668	60619	120605
669	60708	120511
670	60792	120406
671	60876	120304
672	60955	120190
673	61039	120086
